tweet_text,tweet_id,retweets,favorites,date,fav_to_follower_ratio,retweet_to_follower_ratio,prediction_creative,prediction_adventurous,prediction_generous,prediction_decisive,prediction_diplomatic,prediction_affectionate,prediction_hardworking,prediction_observant,prediction_helpful,prediction_optimistic,prediction_honest,prediction_funny,prediction_amusing,prediction_calm,prediction_polite,prediction_charismatic,prediction_romantic,prediction_friendly,prediction_clever,prediction_compassionate,prediction_aggressive,prediction_cynical,prediction_grumpy,prediction_nervous,prediction_defensive,prediction_arrogant,prediction_impulsive,prediction_patronizing,prediction_pessimistic,prediction_sullen,prediction_stubborn,prediction_egotistical,prediction_rude,prediction_mean,prediction_secretive,prediction_bossy,prediction_sarcastic,prediction_irresponsible,prediction_lazy,prediction_selfish
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,1544379368478212100,335,6542,2022-07-05,-9.647014731,-12.61888241,2.01E-08,9.64E-06,0.001412861631,1.69E-05,3.74E-05,2.23E-06,0.06203383207,0.9996339083,0.003032665234,0.0002224267519,0.9807444215,2.67E-06,4.21E-06,0.03358336166,0.003684287891,1.04E-06,0.0003929304366,0.0003060630115,3.78E-05,0.1190452576,0.000270984805,0.1225940958,0.03151692078,0.01379338559,2.41E-05,0.0006509368541,0.2702915967,2.33E-07,0.03357227892,0.0001499159989,0.3991861641,0.0001365101052,1.31E-05,0.6792158484,0.0004789271043,0.004830764607,0.3020044565,0.01389792189,0.007541778497,0.01169024967
"Sock Con, the conference for socks",1544377493263720450,1451,30753,2022-07-05,-8.099269625,-11.1530042,0.003159648273,0.0001591551409,0.1238840222,0.07595651597,0.000159236035,0.003749096533,0.7528706789,0.2153634727,0.4323540926,0.1590165049,0.005445051007,0.0008890933241,0.0128102107,0.007602318656,0.0007370552048,0.03050911613,0.0123294089,0.001472586999,0.1065293625,0.188461557,0.3810342252,0.2345303744,0.7889698148,0.9809125066,0.05190753192,0.6106321216,0.9969136715,0.0005500870757,0.6908564568,0.02747072279,0.9995530248,0.02279000543,0.5096931458,0.6169151664,0.7983458638,0.396708101,0.9819375277,0.3613961935,0.8829702735,0.4896333218
Always something new for the magazine cover and the articles practically write themselves,1544377130590552064,1284,28610,2022-07-05,-8.171500869,-11.27527697,0.9999974966,0.9869788885,0.9683411717,0.05772367492,0.0005571141373,0.6218429804,0.9510453343,0.5533386469,0.9999619722,0.9999991655,0.08726656437,0.9890429378,0.9991372228,0.6577542424,0.07892414927,0.9995024204,0.837333262,0.9856578708,0.9999997616,0.6671175957,0.4248791635,4.67E-07,4.49E-06,0.008011853322,3.44E-05,0.04380290583,0.9663537741,3.52E-07,1.38E-06,3.06E-06,0.4068081379,7.95E-06,0.0001886570972,0.2149898559,0.0004118217621,0.06644780189,0.000282527908,1.27E-05,3.72E-08,0.0004894988961
@user This guy gets it,1544375575724400645,131,3640,2022-07-05,-10.23327349,-13.55781513,0.001754967729,0.003982659429,0.3542378843,0.6424354911,0.001114150044,0.09695274383,0.3760706782,0.8672305346,0.9573810101,0.09565863758,0.01129664481,0.0004268519115,0.03075885028,0.04967161268,0.001341869589,0.676029563,0.538648665,0.001084289397,0.6027366519,0.73638165,0.9766839743,0.5572956204,0.9600208998,0.9362656474,0.03111827932,0.420324266,0.9995018244,0.0001846667437,0.9659422636,0.01214266196,0.9485967755,0.002023833105,0.1843371689,0.9926282167,0.1389202029,0.686814487,0.9849306345,0.7251003385,0.9920952916,0.7941029072
Sock tech is so advanced that you can get pretty much anything in sock form these days!,1544375148605853699,1191,23790,2022-07-05,-8.355991852,-11.35046389,0.04336053506,0.01869336702,0.02150938101,0.002825995442,2.10E-05,0.005164060276,0.2044392824,0.1829338521,0.9725716114,0.9995311499,0.001626459998,0.478979826,0.9774329066,0.01103451103,0.0009701766539,0.05736957118,0.0007398718153,0.01413248293,0.9966298938,0.01979270205,0.01196194347,0.01297506224,0.00718429964,0.0580028072,0.0005160764558,0.008771286346,0.1743887216,0.0001437767496,0.005573975388,0.001355384942,0.4226333201,0.005012968555,0.004185819998,0.07575168461,0.0009856527904,0.02568784542,0.5732035041,0.06429104507,0.01913971454,0.006394831464
I must confess to a penchant for creative socks,1544374564255309826,4839,97004,2022-07-05,-6.950504961,-9.948549088,0.9994874001,0.9829505086,0.02793066949,0.001353341737,9.93E-06,0.09177321196,0.03006232902,0.07420424372,0.07657349855,0.0803174451,4.89E-05,0.5064077377,0.9944137335,0.06404964626,0.001010154141,0.01356317569,0.008195433766,0.002142729238,0.9995840192,0.0902196914,0.03143864498,0.04190144688,0.04800562188,0.5145041943,0.001688466524,0.03094611689,0.9991154075,8.66E-05,0.4051102996,0.0004465904785,0.9862370491,0.001915368601,0.0128536988,0.00552055845,0.005556626711,0.04725483432,0.9887464643,0.02225121856,0.003974651452,0.0527936779
@user It’s time,1544330849927270408,1537,31194,2022-07-05,-8.085031407,-11.09542471,0.002725335304,0.007138647605,0.03010318056,0.9987326264,5.74E-08,6.31E-05,0.02704950608,0.8914315701,0.1060165837,0.9843763113,0.001226219581,0.0008538486436,0.02238770388,0.000362116436,2.15E-07,0.7468171716,0.002196189947,0.0003587514511,0.6611064672,0.1995089948,0.9998113513,0.0485660471,0.5824661255,0.5026323199,6.86E-05,0.9925060868,0.9999257326,2.30E-06,0.2641401887,0.000308386574,0.9981916547,0.01959211379,0.03273774311,0.9912500381,0.0002247000666,0.9470168352,0.6778393984,0.8643582463,0.3598637879,0.09967645258
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",1544320280247549954,171,3196,2022-07-05,-10.36335715,-13.2913489,0.002314710058,0.0002964651212,0.02041862532,0.01974217594,6.24E-05,0.5574956536,0.0002555338433,0.008329013363,0.7010121942,0.9984866381,5.70E-05,0.6230348945,0.9986104965,0.007230493706,0.007413933054,0.9999966621,2.45E-06,0.2580100894,0.9997137189,0.002138472861,0.0008072962519,0.003310412634,0.002147708321,0.003588698572,5.70E-05,0.0001042748554,0.5903204679,6.86E-05,0.007279505488,4.59E-06,0.3745602965,2.42E-07,0.02802437171,0.001054117922,0.0006094661076,1.52E-05,0.445218116,0.1385866404,8.10E-05,0.0001069951395
"@user While bleak posts maybe generate more clicks, more happier moments in history would be nice",1544316752657629189,2347,47623,2022-07-05,-7.661941338,-10.67211926,0.001444005407,0.03342760354,0.02316279709,0.002579469699,0.0007545156986,0.3020963967,0.1161724553,0.8622745872,0.9346928,0.005539484322,0.003926387522,0.01279154234,0.04853428155,0.05056370795,0.003511892166,0.04573914781,0.6036764979,0.05777518079,0.2973312736,0.2416554242,0.04322473705,0.692043066,0.2817079127,0.399990648,0.0001730845834,0.01680323668,0.836176157,3.22E-05,0.9913723469,0.6300603151,0.8983627558,0.0009167381213,0.004383955617,0.6667914391,0.001216791803,0.09609583765,0.9913167953,0.2778203189,0.04697353765,0.008120520972
@user @user Supporting Doge wherever possible,1544743525585141761,2081,10679,2022-07-06,-9.157650674,-10.79308132,0.00588051416,0.0005429369048,0.01314563397,0.1383418739,0.0001845095685,0.3962272406,0.548874557,0.8068445921,0.4838553965,0.7816489339,0.001749297255,0.0005341748474,0.01953357086,0.00648101652,0.001035751193,0.1210016087,0.01417746302,0.01721920632,0.4847733974,0.8787514567,0.5041573048,0.00616850052,0.3010924459,0.6456649303,0.01689484715,0.06547142565,0.9470999241,0.0001907824189,0.07701212913,0.000811091566,0.9997391105,0.00103456527,0.07467991114,0.6914666891,0.03415866196,0.02850968204,0.3891444504,0.05122477561,0.1048683375,0.002986944281
"Moon brought us together in ‘69,
Mars can do that in the future",1544721101238018048,7404,146553,2022-07-06,-6.538542742,-9.523909485,0.370328784,0.89371562,0.05702725053,0.8285788894,0.01280835364,0.9434101582,0.1405580938,0.9920096397,0.9611918926,1,0.0006190817803,0.02092434652,0.4477549195,0.0009227923583,3.84E-05,0.8094732165,0.8938058019,0.5946388245,0.998652935,0.8394505978,0.2815995514,4.57E-05,0.006186712533,0.1744776964,0.0001089058351,0.5210592151,0.5929892063,2.10E-05,0.0001354440465,0.000424078753,0.5666965842,0.005578381009,0.007264472544,0.9923459291,0.0001480349747,0.4159916341,0.01022502501,0.03733665869,0.02136439271,0.001648534788
