tweet_text,adj,question,answer_a,answer_b
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,creative,Would this statment be described as creative?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,adventurous,Would this statment be described as adventurous?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,generous,Would this statment be described as generous?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,decisive,Would this statment be described as decisive?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,diplomatic,Would this statment be described as diplomatic?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,affectionate,Would this statment be described as affectionate?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,hardworking,Would this statment be described as hardworking?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,observant,Would this statment be described as observant?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,helpful,Would this statment be described as helpful?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,optimistic,Would this statment be described as optimistic?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,honest,Would this statment be described as honest?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,funny,Would this statment be described as funny?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,amusing,Would this statment be described as amusing?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,calm,Would this statment be described as calm?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,polite,Would this statment be described as polite?,Yes.,No.
