,tweet_text,adj,question,answer_a,answer_b,Prediction_A,Prediction_B,Dif_Scores_A.B
0,tweet_text,adj,question,answer_a,answer_b,,,
1,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,creative,How can this statement be described?,creative,not creative,,,
2,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,adventurous,How can this statement be described?,adventurous,not adventurous,,,
3,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,generous,How can this statement be described?,generous,not generous,,,
4,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,decisive,How can this statement be described?,decisive,not decisive,,,
5,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,diplomatic,How can this statement be described?,diplomatic,not diplomatic,,,
6,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,affectionate,How can this statement be described?,affectionate,not affectionate,,,
7,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,hardworking,How can this statement be described?,hardworking,not hardworking,,,
8,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,observant,How can this statement be described?,observant,not observant,,,
9,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,helpful,How can this statement be described?,helpful,not helpful,,,
10,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,optimistic,How can this statement be described?,optimistic,not optimistic,,,
11,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,honest,How can this statement be described?,honest,not honest,,,
12,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,funny,How can this statement be described?,funny,not funny,,,
13,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,amusing,How can this statement be described?,amusing,not amusing,,,
14,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,calm,How can this statement be described?,calm,not calm,,,
15,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,polite,How can this statement be described?,polite,not polite,,,
16,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,charismatic,How can this statement be described?,charismatic,not charismatic,,,
17,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,romantic,How can this statement be described?,romantic,not romantic,,,
18,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,friendly,How can this statement be described?,friendly,not friendly,,,
19,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,clever,How can this statement be described?,clever,not clever,,,
20,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,compassionate,How can this statement be described?,compassionate,not compassionate,,,
21,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,aggressive,How can this statement be described?,aggressive,not aggressive,,,
22,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,cynical,How can this statement be described?,cynical,not cynical,,,
23,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,grumpy,How can this statement be described?,grumpy,not grumpy,,,
24,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,nervous,How can this statement be described?,nervous,not nervous,,,
25,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,defensive,How can this statement be described?,defensive,not defensive,,,
26,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,arrogant,How can this statement be described?,arrogant,not arrogant,,,
27,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,impulsive,How can this statement be described?,impulsive,not impulsive,,,
