tweet_text,tweet_id,retweets,favorites,date,adj,fav_to_follower_ratio,retweet_to_follower_ratio,question,answer_a,answer_b
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,creative,-9.101142914967003,-11.843205046547629,How can this statement be described?,creative,not creative
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,adventurous,-9.101142914967003,-11.843205046547629,How can this statement be described?,adventurous,not adventurous
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,generous,-9.101142914967003,-11.843205046547629,How can this statement be described?,generous,not generous
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,decisive,-9.101142914967003,-11.843205046547629,How can this statement be described?,decisive,not decisive
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,diplomatic,-9.101142914967003,-11.843205046547629,How can this statement be described?,diplomatic,not diplomatic
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,affectionate,-9.101142914967003,-11.843205046547629,How can this statement be described?,affectionate,not affectionate
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,hardworking,-9.101142914967003,-11.843205046547629,How can this statement be described?,hardworking,not hardworking
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,observant,-9.101142914967003,-11.843205046547629,How can this statement be described?,observant,not observant
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,helpful,-9.101142914967003,-11.843205046547629,How can this statement be described?,helpful,not helpful
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,optimistic,-9.101142914967003,-11.843205046547629,How can this statement be described?,optimistic,not optimistic
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,honest,-9.101142914967003,-11.843205046547629,How can this statement be described?,honest,not honest
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,funny,-9.101142914967003,-11.843205046547629,How can this statement be described?,funny,not funny
