tweet_text,adj,question,answer_a,answer_b
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,creative,How can this statement be described?,creative,not creative
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,adventurous,How can this statement be described?,adventurous,not adventurous
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,generous,How can this statement be described?,generous,not generous
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,decisive,How can this statement be described?,decisive,not decisive
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,diplomatic,How can this statement be described?,diplomatic,not diplomatic
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,affectionate,How can this statement be described?,affectionate,not affectionate
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,hardworking,How can this statement be described?,hardworking,not hardworking
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,observant,How can this statement be described?,observant,not observant
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,helpful,How can this statement be described?,helpful,not helpful
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,optimistic,How can this statement be described?,optimistic,not optimistic
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,honest,How can this statement be described?,honest,not honest
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,funny,How can this statement be described?,funny,not funny
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,amusing,How can this statement be described?,amusing,not amusing
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,calm,How can this statement be described?,calm,not calm
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,polite,How can this statement be described?,polite,not polite
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,charismatic,How can this statement be described?,charismatic,not charismatic
